Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
endoplasmic reticulum calcium ion homeostasis	GOTERM_BP_DIRECT	2	4.761904761904762	0.039294626597945	ITPR1, HERPUD1	42	19	19462	48.77694235588972	0.9999999999999905	0.657506199529995	0.6534223100919204
fibrinolysis	GOTERM_BP_DIRECT	2	4.761904761904762	0.039294626597945	FGA, FGG	42	19	19462	48.77694235588972	0.9999999999999905	0.657506199529995	0.6534223100919204
response to dexamethasone	GOTERM_BP_DIRECT	2	4.761904761904762	0.0413204929920147	CYP1B1, FOXO3	42	20	19462	46.33809523809524	0.9999999999999982	0.657506199529995	0.6534223100919204
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	7	16.666666666666664	0.0428098715504568	IL33, AR, GPER1, GATA4, BMPR1B, FOXO3, HIPK2	42	1232	19462	2.6328463203463204	0.9999999999999994	0.657506199529995	0.6534223100919204
cartilage condensation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0433421913683658	COL2A1, BMPR1B	42	21	19462	44.131519274376416	0.9999999999999996	0.657506199529995	0.6534223100919204
cytokine-mediated signaling pathway	GOTERM_BP_DIRECT	3	7.142857142857142	0.0446881337960526	KIT, LEPR, CTSG	42	160	19462	8.688392857142857	1.0	0.657506199529995	0.6534223100919204
positive regulation of beta-amyloid formation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0453597300814708	ABCA2, CLU	42	22	19462	42.12554112554112	1.0	0.657506199529995	0.6534223100919204
negative regulation of neuron apoptotic process	GOTERM_BP_DIRECT	3	7.142857142857142	0.0462033076599473	PINK1, CLU, HIPK2	42	163	19462	8.528483786152497	1.0	0.657506199529995	0.6534223100919204
positive regulation of NF-kappaB transcription factor activity	GOTERM_BP_DIRECT	3	7.142857142857142	0.046712578728441	AR, CTH, CLU	42	164	19462	8.476480836236934	1.0	0.657506199529995	0.6534223100919204
positive regulation of exocytosis	GOTERM_BP_DIRECT	2	4.761904761904762	0.0473731174816642	FGA, FGG	42	23	19462	40.29399585921325	1.0	0.657506199529995	0.6534223100919204
glycosphingolipid metabolic process	GOTERM_BP_DIRECT	2	4.761904761904762	0.0473731174816642	ABCA2, KIT	42	23	19462	40.29399585921325	1.0	0.657506199529995	0.6534223100919204
regulation of primary metabolic process	GOTERM_BP_DIRECT	2	4.761904761904762	0.0473731174816642	BMPR1B, PRKAB1	42	23	19462	40.29399585921325	1.0	0.657506199529995	0.6534223100919204
regulation of reactive oxygen species metabolic process	GOTERM_BP_DIRECT	2	4.761904761904762	0.0473731174816642	PINK1, CYP1B1	42	23	19462	40.29399585921325	1.0	0.657506199529995	0.6534223100919204
cellular macromolecular complex assembly	GOTERM_BP_DIRECT	2	4.761904761904762	0.0493823618969385	FGA, FGG	42	24	19462	38.61507936507937	1.0	0.6625466887839251	0.6584314919591803
mast cell degranulation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0493823618969385	CHGA, KIT	42	24	19462	38.61507936507937	1.0	0.6625466887839251	0.6584314919591803
