Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
regulation of macroautophagy	GOTERM_BP_DIRECT	13	4.391891891891892	4.187145486560402e-11	VPS26A, CAPNS1, CDK5, RHEB, CASP3, NEDD4, UBQLN1, CAPN1, GAPDH, ATP6V1C1, SNX5, CDK5R1, UBQLN2	294	57	19462	15.097625014918249	1.2155297524074626e-07	5.525128794311294e-09	5.121640229242746e-09
extrinsic apoptotic signaling pathway in absence of ligand	GOTERM_BP_DIRECT	11	3.716216216216216	6.757007904186655e-11	IL1A, GSK3A, BCL2L11, BCL2A1, IL1B, CASP2, FAS, BAX, ITGAV, BAK1, FADD	294	35	19462	20.804859086491746	1.9615586688281894e-07	8.528519106892982e-09	7.905699247898386e-09
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	GOTERM_BP_DIRECT	11	3.716216216216216	9.232333416027508e-11	PPP1R15A, CEBPB, DDIT3, TMEM117, BAX, TNFRSF10B, TRIB3, TRAF2, BAK1, PML, BBC3	294	36	19462	20.22694633408919	2.680147106470798e-07	1.0720585562691144e-08	9.937683689012012e-09
positive regulation of apoptotic signaling pathway	GOTERM_BP_DIRECT	11	3.716216216216216	9.232333416027508e-11	TRAF7, CTSL, CTSK, RPS3, CASP2, FAS, CTSV, BID, TP63, CTSC, NKX3-1	294	36	19462	20.22694633408919	2.680147106470798e-07	1.0720585562691144e-08	9.937683689012012e-09
intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	11	3.716216216216216	1.2484676766383562e-10	MSH6, SIVA1, CASP3, BAX, HTRA2, PMAIP1, CYCS, BAK1, NBN, HRAS, BBC3	294	37	19462	19.68027210884354	3.624301935234442e-07	1.3939621789542878e-08	1.2921640453206986e-08
cellular response to mechanical stimulus	GOTERM_BP_DIRECT	14	4.72972972972973	1.4390114870014959e-10	TGFB1, TNFRSF10B, TNFRSF10A, BCL10, PTGS2, CASP8, IL1B, IRF1, CASP1, CASP2, FAS, BAK1, FADD, LTBR	294	78	19462	11.88156288156288	4.177448444941945e-07	1.5472038321353123e-08	1.4342147820448245e-08
positive regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	49	16.554054054054053	1.1679992537334214e-09	RB1, GSK3A, KDM1A, HMGB2, BRCA1, TRIAP1, HMGB1, AATF, BACH1, TBK1, ZC3H12A, HRAS, TP63, NCK1, NKX3-1, SREBF1, PARP1, RIPK2, SENP1, IL1A, TFDP1, IRF1, IL1B, DDIT3, MET, CEBPB, PRKDC, HDAC1, TAF9, FOXK2, HIF1A, BCL2L12, PCBP1, E2F1, PLAGL2, E2F2, FADD, TGFB1, SMAD3, STAT1, STAT2, STAT3, INHBA, NFKBIA, SNW1, HNRNPK, MYBBP1A, BCL3, TP73	294	1232	19462	2.6328463203463204	3.390696084681899e-06	1.2109649405671868e-07	1.1225307113559421e-07
positive regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	36	12.162162162162163	1.5173008695515807e-09	CEBPB, HDAC1, TAF9, MAZ, HMGB2, FOXK2, FOXK1, BCL10, BRCA1, BRCA2, HIF1A, MTDH, TFPT, CHEK2, BLOC1S2, E2F1, PIM2, TRIM21, TP63, SNX5, NKX3-1, YWHAH, DAXX, TGFB1, SMAD3, STAT1, USP21, STAT3, INHBA, PML, IRF1, IL1B, DDIT3, BCL3, TRIM14, TP73	294	730	19462	3.2645233435840093	4.404714642580743e-06	1.518870491140772e-07	1.4079505655045876e-07
positive regulation of neuron apoptotic process	GOTERM_BP_DIRECT	12	4.054054054054054	1.920139949439564e-09	PRNP, TRAF7, TGFB2, BCL2L11, CASP8, CDK5, DDIT3, CASP3, CASP2, BAX, CDK5R1, BBC3	294	62	19462	12.812376563528638	5.57415070379097e-06	1.8580554244076847e-07	1.7223655346472886e-07
positive regulation of interleukin-8 production	GOTERM_BP_DIRECT	12	4.054054054054054	3.248701509683104e-09	PYCARD, SYK, DDIT3, IL1B, STAT3, SERPINE1, CD14, BCL10, FADD, HMGB1, HSPA1B, HSPA1A	294	65	19462	12.221036106750391	9.430936085408348e-06	3.042251768583888e-07	2.8200825040507204e-07
neuron apoptotic process	GOTERM_BP_DIRECT	13	4.391891891891892	3.508744612627895e-09	RB1, GPX1, SIAH1, HTRA2, HIF1A, POLB, CDK5, CASP3, BAX, BID, HRAS, GAPDH, TP63	294	82	19462	10.49469055915049	1.0185833797526913e-05	3.183089253268369e-07	2.9506349226817705e-07
protein phosphorylation	GOTERM_BP_DIRECT	27	9.12162162162162	4.173628317431277e-09	GSK3A, CSF2, DYRK2, PRKDC, TAF9, PIK3CD, STK4, STK3, TBK1, CHEK2, PHKG2, ABL2, PIM2, PAK2, IKBKE, LYN, PLK3, TGFB2, TGFB1, SYK, PLK2, EIF2AK2, YWHAZ, MELK, CDK5, LCK, TRIB3	294	445	19462	4.016464113735382	1.2115969673653916e-05	3.671528183485757e-07	3.403404182487141e-07
positive regulation of protein complex assembly	GOTERM_BP_DIRECT	11	3.716216216216216	8.254035234242311e-09	TGFB1, BCL2L11, SYK, TFRC, MMP1, BIK, RPS3, BAX, BAK1, BID, BBC3	294	55	19462	13.239455782312923	2.396117730696368e-05	7.047489495589832e-07	6.532826122160605e-07
negative regulation of cell proliferation	GOTERM_BP_DIRECT	27	9.12162162162162	9.053914604445157e-09	CIB1, STK4, PTGS2, STK3, BAK1, PIM2, HRAS, NKX3-1, CDKN2D, LYN, TGFB2, TGFB1, SMAD3, STAT3, EIF2AK2, INHBA, SOD2, PML, IL1A, HGS, IRF1, IL1B, ACKR3, PTPN2, HSPA1B, HSPA1A, TP73	294	462	19462	3.868672144182349	2.628316884656368e-05	7.509575456201224e-07	6.961166914446261e-07
positive regulation of protein phosphorylation	GOTERM_BP_DIRECT	19	6.418918918918918	1.0378076175012842e-08	LYN, DAXX, HSP90AA1, TGFB1, RALB, TFRC, PLAUR, TREM2, CIB1, INHBA, STK4, MMP9, CHEK2, IL1B, FAS, HRAS, PPIA, TRIM65, NKX3-1	294	226	19462	5.565257961591716	3.012710146566011e-05	8.368765315572855e-07	7.757611940822099e-07
signal transduction	GOTERM_BP_DIRECT	48	16.216216216216218	2.3994413058595243e-08	YWHAE, GSK3A, RALB, YWHAB, RTKN2, PIK3CD, HMGB1, STK4, HIF1A, STK3, GNA13, PYCARD, HINT1, TMEM102, YWHAQ, CASP1, TNFSF10, RAC2, ABL2, SFN, FADD, HRAS, PAK2, YWHAG, NCK1, YWHAH, LYN, IFNGR1, STAT1, RIPK2, STAT2, STAT3, PLAUR, TNFRSF10B, TRAF2, TNFRSF10A, YWHAZ, TYROBP, HNRNPK, CTTN, RHEB, HGS, IL1B, FAS, TNFRSF25, LTBR, MET, HSPA1A	294	1310	19462	2.425549150958093	6.965335590203292e-05	1.8443969012661517e-06	1.7097044647975243e-06
positive regulation of gene expression	GOTERM_BP_DIRECT	28	9.45945945945946	2.4142983895319928e-08	GSK3A, CSF2, TFRC, HDAC1, MAZ, PIK3CD, TREM2, BRCA1, HIF1A, PDCD10, LAMP3, ZC3H12A, E2F1, RPS3, NKX3-1, TGFB1, SMAD3, RPS7, IFNGR1, STAT3, PAWR, INHBA, IL1A, TYROBP, HGS, IL1B, HSPA1B, HSPA1A	294	519	19462	3.571336819891733	7.008462719726438e-05	1.8443969012661517e-06	1.7097044647975243e-06
regulation of cell cycle	GOTERM_BP_DIRECT	20	6.756756756756757	2.6761524500634385e-08	RB1, PPP1R15A, PRNP, DDIAS, STAT3, BRCA1, PML, TFPT, TFDP1, CDK5, RHEB, IRF1, DDIT3, BAX, E2F2, SFN, BAK1, NBN, HRAS, TP73	294	268	19462	4.94009544116154	7.768568912436269e-05	1.9920180929574773e-06	1.8465451905437723e-06
cellular response to lipopolysaccharide	GOTERM_BP_DIRECT	17	5.743243243243244	5.674414445541676e-08	CEBPB, CSF2, GSTP1, SERPINE1, HMGB2, TNFAIP3, HMGB1, BCL10, MMP9, PYCARD, IL1A, IL1B, ZC3H12A, CASP1, CD14, CD68, CHMP5	294	198	19462	5.683604755033326	0.0001647146891864404	4.118206283851872e-06	3.817462318238163e-06
cellular response to heat	GOTERM_BP_DIRECT	10	3.3783783783783785	7.33263789368788e-08	LYN, YWHAE, IL1A, DAXX, HSP90AA1, PDCD6, HTRA2, PTGS2, HSPA1B, HSPA1A	294	52	19462	12.73024594453166	0.0002128438314876746	5.19186531838437e-06	4.812714285832704e-06
protein stabilization	GOTERM_BP_DIRECT	18	6.081081081081082	7.542190943857816e-08	USP13, URI1, HSP90AA1, HIP1, SMAD3, RPS7, TAF9, STK4, PML, STK3, TYROBP, PDCD10, CHEK2, CDC37, PIM2, GAPDH, HSPA1B, HSPA1A	294	229	19462	5.203279565101149	0.0002189258434396324	5.21309055000458e-06	4.832389483314614e-06
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GOTERM_BP_DIRECT	7	2.364864864864865	7.804765748567887e-08	BCL2L12, KDM1A, TAF9, MIF, TRIAP1, CD44, ZNF385A	294	16	19462	28.96130952380952	0.0002265466928349502	5.26912441118432e-06	4.884331309161904e-06
positive regulation of tumor necrosis factor production	GOTERM_BP_DIRECT	13	4.391891891891892	8.3397858500408e-08	TGFB1, SYK, IFNGR1, RIPK2, STAT3, HSPB1, HMGB1, MIF, PYCARD, IL1A, TYROBP, CD14, FADD	294	108	19462	7.968190980095742	0.00024207468853731928	5.502363255151919e-06	5.100537209649952e-06
negative regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	29	9.797297297297296	9.765013599744897e-08	RB1, CSF2, KDM1A, HDAC1, HMGB2, FOXK2, FOXK1, BRCA1, ENO1, DEDD2, YWHAQ, E2F1, TP63, NKX3-1, DAXX, TGFB1, PARP1, SIAH2, NONO, PML, SNW1, HNRNPK, MYBBP1A, CDK5, IRF1, DDIT3, BCL3, TRIB3, CDK5R1	294	592	19462	3.2427721088435373	0.0002834381823895171	6.29951877334654e-06	5.839478132647447e-06
intrinsic apoptotic signaling pathway by p53 class mediator	GOTERM_BP_DIRECT	8	2.702702702702702	1.1194967632172205e-07	PYCARD, HINT1, MYBBP1A, PERP, E2F1, BAX, PMAIP1, E2F2	294	27	19462	19.61400856638952	0.0003249371250036992	7.064998051346937e-06	6.54905606482074e-06
negative regulation of I-kappaB kinase/NF-kappaB signaling	GOTERM_BP_DIRECT	10	3.3783783783783785	1.432452594287598e-07	PYCARD, CASP8, STAT1, HDAC1, USP10, GSTP1, ZC3H12A, TNFAIP3, TREM2, SLC39A8	294	56	19462	11.8209426627794	0.0004157545680217867	8.847680598333823e-06	8.2015530451658e-06
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	GOTERM_BP_DIRECT	8	2.702702702702702	1.4735260034282498e-07	RNF34, GPX1, PEA15, SERPINE1, HMGB2, TNFAIP3, BRCA1, ICAM1	294	28	19462	18.913508260447035	0.0004276731520685973	8.911762474900434e-06	8.260955156719625e-06
positive regulation of peptidyl-serine phosphorylation	GOTERM_BP_DIRECT	12	4.054054054054054	1.5234152371090765e-07	GSK3A, HSP90AA1, TGFB1, TBK1, TFRC, PDCD10, RIPK2, MIF, STK4, PTGS2, CD44, EIF4G1	294	93	19462	8.541584375685758	0.0004421497000711705	9.025458027199284e-06	8.36634776134801e-06
cellular response to oxidative stress	GOTERM_BP_DIRECT	12	4.054054054054054	2.356697100151741e-07	G6PD, TMEM161A, GPX1, PARP1, FANCD2, ZC3H12A, HTRA2, KEAP1, SOD2, PPIA, HSPA1B, HSPA1A	294	97	19462	8.189354092152325	0.0006839152719214647	1.3682983363481009e-05	1.268374379301667e-05
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	3.206645354689255e-07	BCL2L11, DDIT3, PMAIP1, PTPN2, NCK1, BBC3	294	11	19462	36.10760667903524	0.00093045615272358	1.8252728362084127e-05	1.6919769900919183e-05
activation of cysteine-type endopeptidase activity	GOTERM_BP_DIRECT	7	2.364864864864865	3.5906454284908626e-07	PYCARD, CASP8, RIPK2, PERP, CYCS, BAK1, FADD	294	20	19462	23.169047619047618	0.0010418214818851	2.004546861328649e-05	1.8581590092440213e-05
negative regulation of cell growth	GOTERM_BP_DIRECT	13	4.391891891891892	4.577556521052104e-07	RB1, CDKN2D, TGFB2, TGFB1, SMAD3, BRCA1, ENO1, INHBA, PML, PPT1, ST20, HSPA1B, HSPA1A	294	126	19462	6.829877982939208	0.001327982411979	2.5072918076630672e-05	2.324189546820983e-05
proteolysis involved in cellular protein catabolic process	GOTERM_BP_DIRECT	8	2.702702702702702	4.984519649783175e-07	CASP8, CTSL, CTSK, CTSZ, GZMB, CTSV, CTSC, CTSB	294	33	19462	16.04782519068233	0.0014459600058087	2.679640841355659e-05	2.483952292141949e-05
pyroptosis	GOTERM_BP_DIRECT	8	2.702702702702702	6.196415966004585e-07	GSDMD, PYCARD, CASP8, CASP3, CASP1, GZMB, TREM2, TRIM21	294	34	19462	15.575830332132853	0.0017972032049645	3.270581008965693e-05	3.031737339003334e-05
positive regulation of erythrocyte differentiation	GOTERM_BP_DIRECT	8	2.702702702702702	7.646341065437942e-07	STAT1, PRKDC, STAT3, HMGB2, INHBA, HIF1A, HSPA1B, HSPA1A	294	35	19462	15.130806608357627	0.002217271873144	3.963808591601133e-05	3.674339965552411e-05
response to endoplasmic reticulum stress	GOTERM_BP_DIRECT	11	3.716216216216216	8.224678205756546e-07	BCAP31, PDIA3, PPP1R15A, CEBPB, BCL2L11, DDIT3, UBQLN1, TNFRSF10B, TRIB3, TRAF2, BBC3	294	88	19462	8.274659863945578	0.002384776955617	4.188814180931799e-05	3.882913868717696e-05
positive regulation of sequence-specific DNA binding transcription factor activity	GOTERM_BP_DIRECT	12	4.054054054054054	1.7143508051331148e-06	PYCARD, TFDP1, SMAD3, KDM1A, DDIT3, IL1B, TRIM14, TRAF2, TRIM21, IKBKE, STK3, NKX3-1	294	118	19462	6.731926668972673	0.0049644010786441	8.580621357416263e-05	7.953996580367606e-05
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GOTERM_BP_DIRECT	9	3.040540540540541	1.8205635802900603e-06	CDKN2D, GPX1, LAMP3, SIAH2, SFN, TRIAP1, PTGS2, CD44, MAGEA3	294	56	19462	10.63884839650146	0.0052711593106523	8.957789955223806e-05	8.303621346712802e-05
aging	GOTERM_BP_DIRECT	13	4.391891891891892	2.380490291188936e-06	SREBF1, TGFB1, GPX1, TFRC, GPX4, HTRA2, PTGS2, POLB, CASP2, BAK1, CD68, GCLM, CTSC	294	147	19462	5.854181128233607	0.0068867484498272	0.000115176055255358	0.00010676498955982375
lipopolysaccharide-mediated signaling pathway	GOTERM_BP_DIRECT	8	2.702702702702702	2.803218776191828e-06	LYN, NFKBIA, TGFB1, RIPK2, IL1B, CD14, BCL10, MTDH	294	42	19462	12.60900550696469	0.0081047336163346	0.00013340564110303076	0.00012366330699561
positive regulation of IRE1-mediated unfolded protein response	GOTERM_BP_DIRECT	5	1.6891891891891893	3.3594884558482712e-06	PTPN1, BCL2L11, BAX, BAK1, BBC3	294	8	19462	41.37329931972789	0.009705208879536	0.00015729991915044406	0.00014581263604334998
viral entry into host cell	GOTERM_BP_DIRECT	11	3.716216216216216	3.525034229954447e-06	SIVA1, TFRC, CTSL, ITGAV, SLC3A2, SLC1A5, HSPA1B, EPHA2, CTSB, HSPA1A, ICAM1	294	103	19462	7.069612310943795	0.0101810114366589	0.0001604037343298861	0.00014868978611151345
cellular response to UV	GOTERM_BP_DIRECT	9	3.040540540540541	3.53628625460307e-06	TMEM161A, KDM1A, PARP1, NEDD4, BAX, BAK1, TRIAP1, NOC2L, PTGS2	294	61	19462	9.766811642689865	0.0102133430913562	0.0001604037343298861	0.00014868978611151345
response to xenobiotic stimulus	GOTERM_BP_DIRECT	17	5.743243243243244	5.053860575749945e-06	LYN, SREBF1, TGFB2, HSP90AA1, TGFB1, GPX1, STAT1, INHBA, PTGS2, SOD2, LIPA, LCK, CASP3, GNA12, BAK1, GCLM, TP73	294	277	19462	4.062648886269309	0.0145642938300989	0.00022571318848310908	0.0002092298278360477
protein targeting	GOTERM_BP_DIRECT	8	2.702702702702702	5.282586594105971e-06	YWHAE, AP4M1, YWHAQ, YWHAB, CDC37, YWHAZ, PML, YWHAG	294	46	19462	11.5125702454895	0.0152184010881285	0.00023235377094984287	0.000215385462496048
ectopic germ cell programmed cell death	GOTERM_BP_DIRECT	6	2.027027027027027	5.453366763002434e-06	IL1A, PRKDC, IL1B, CASP2, BAX, YBX3	294	18	19462	22.065759637188208	0.0157065126316798	0.0002362854285521801	0.00021902999939163507
regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	7	2.364864864864865	5.933483115835702e-06	LYN, TRAF7, SYK, IL1B, GSTP1, YWHAZ, EPHA2	294	31	19462	14.947772657450075	0.0170774512071767	0.00025330737478339765	0.00023480886859873344
response to virus	GOTERM_BP_DIRECT	11	3.716216216216216	6.388311231822318e-06	URI1, TBK1, IFNGR1, IFNGR2, BCL3, HSPB1, AP1S1, EIF2AK2, PIM2, AUP1, ENO1	294	110	19462	6.619727891156463	0.0183744203065842	0.0002687719928402926	0.0002491441380410704
positive regulation of interleukin-1 beta production	GOTERM_BP_DIRECT	9	3.040540540540541	7.244095897160482e-06	GSDMD, PYCARD, SMAD3, TYROBP, CASP8, RIPK2, STAT3, CASP1, HSPB1	294	67	19462	8.892171794090771	0.0208101046416252	0.00029473858644513454	0.0002732144457884454
regulation of protein ubiquitination	GOTERM_BP_DIRECT	6	2.027027027027027	7.310085506045362e-06	DAXX, HSP90AA1, SIAH2, UBQLN1, HSPA1B, HSPA1A	294	19	19462	20.90440386680988	0.0209976693282153	0.00029473858644513454	0.0002732144457884454
regulation of tumor necrosis factor-mediated signaling pathway	GOTERM_BP_DIRECT	6	2.027027027027027	7.310085506045362e-06	PYCARD, SHARPIN, CASP8, SYK, SPATA2, TNFAIP3	294	19	19462	20.90440386680988	0.0209976693282153	0.00029473858644513454	0.0002732144457884454
