Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
GRIA4	-0.856869495438294	0.102171548334731	-10.8082259886586	4.14657108791786e-21	3.38799286252398e-18	37.3130436138879
TRIM50	-2.48885260923684	0.27526004168578	-10.808026184671	4.15195203740684e-21	3.38799286252398e-18	37.3117773802003
HDC	-1.55385262059584	0.424587970453999	-10.7376355105591	6.55475672796397e-21	5.13473423041786e-18	36.8659420996088
UBE2C	2.92905111354706	5.24718082259803	10.7297690327965	6.89768792155767e-21	5.19555077906867e-18	36.8161503390428
CLCNKA	-1.14610942300767	0.184770283002639	-10.6835399328348	9.30668603546519e-21	6.75044960439075e-18	36.5236727260716
RIMS4	-1.14406228454084	0.197179374732381	-10.6646253703071	1.05194209444127e-20	7.35758356340638e-18	36.4040732929544
C14orf180	-0.246008009537831	0.0262325043893755	-10.5519982844034	2.17962045623684e-20	1.47192024189456e-17	35.6927537505002
GIF	-5.3645035649087	0.723682191109227	-10.5335992482402	2.45473604755075e-20	1.60245169184113e-17	35.5766909717994
TMED6	-2.13296713413238	0.749302657169473	-10.5039286774494	2.97314799441479e-20	1.85322435610429e-17	35.389611708833
SH3GL2	-1.62509159817194	0.267199331608347	-10.5010895048377	3.02814437271943e-20	1.85322435610429e-17	35.3717156973231
PDILT	-2.22001847447357	0.197266300345651	-10.4117466292015	5.38812872313158e-20	3.19760948223663e-17	34.8090738349167
CTB-50L17.14	-0.743917534787072	0.172045412711954	-10.359947671155	7.52193039442293e-20	4.33263190718761e-17	34.4833299597625
KCNE2	-4.03922606977138	0.752742884554776	-10.3398493582058	8.56064601324837e-20	4.7900483292416e-17	34.357033445323
B3GAT1	-1.85007950082949	0.257002835271975	-10.2785715476546	1.26951879007025e-19	6.90618221798214e-17	33.9722997893319
CHIA	-3.47461552981902	0.301195959661384	-10.2225059808263	1.81977612848442e-19	9.63202586492944e-17	33.6207397823086
EPHA5	-0.322040860137266	0.0500944102598208	-10.211426791018	1.95387788192065e-19	1.0069669589351e-16	33.5513193521829
TMEM132C	-0.494974450501064	0.0993386800956857	-10.1950526815864	2.17030467947326e-19	1.08982684212319e-16	33.4487535355074
CDC20	2.61604782892165	4.64307905384169	10.0442868417627	5.69898249427465e-19	2.79022182919687e-16	32.5062018988476
PGA3	-5.07332775658818	0.534772337715819	-10.0379773077167	5.93350854502332e-19	2.8341910084326e-16	32.4668302260356
RP11-343C2.7	-0.239733892289415	0.0319627535211221	-10.032632005839	6.13970040731016e-19	2.86285458992291e-16	32.4334801607932
CKS2	2.55531839654926	5.83108299043423	10.0118156638251	7.01299471125499e-19	3.19401135872599e-16	32.3036460905838
LIPF	-8.40597701933605	1.452431239181	-9.90916371563398	1.3498425788136e-18	6.00802660533764e-16	31.6643883565426
SLC9A4	-3.0442494847934	0.764270919862174	-9.84729809827953	2.00130062356206e-18	8.70966031374207e-16	31.2799463095169
FRMD1	-1.93165658076051	0.346680447126634	-9.83637002414893	2.14533212909442e-18	9.13351835134459e-16	31.2121035625281
GHRL	-3.23221760899915	0.675435388095602	-9.82716915602215	2.27457157204287e-18	9.47770418444415e-16	31.1549990409735
UBE2T	2.36192297563699	4.18454114952205	9.77412287575762	3.18600822162705e-18	1.29989135442383e-15	30.82605101064
PLIN5	-1.35810919592459	0.398077890733115	-9.65164349968162	6.9236580960467e-18	2.7672024521016e-15	30.0684090804452
BIRC5	2.29557442834184	3.34720335229109	9.63644705736536	7.62215906555607e-18	2.985447262797e-15	29.9745928955883
KLF15	-2.19848728485575	0.884597476943769	-9.61606695729939	8.67022452480351e-18	3.32936621752455e-15	29.8488413529084
GKN2	-4.17367054728738	0.62560210839305	-9.56485710979828	1.19805446639612e-17	4.51205743651953e-15	29.5331998533905
KPNA2	2.10132785014309	5.58561445087811	9.46216835596452	2.28800559786832e-17	8.45439653370816e-15	28.9017556661259
MYBL2	2.82521030357373	5.01981409399632	9.43027422840203	2.79605753071124e-17	1.01403686447127e-14	28.7060521771799
PEBP4	-1.36035337425593	0.226196491039024	-9.40829423021279	3.21005930545341e-17	1.12731771517631e-14	28.5712995627846
NUSAP1	2.30373873329459	4.24356214402357	9.4076269323238	3.22353921823292e-17	1.12731771517631e-14	28.5672100739107
GKN1	-6.1233362196037	0.992972569372204	-9.39661897732186	3.45421250318409e-17	1.17197428144408e-14	28.4997614776513
KIF18B	2.098546661799	3.14937327608441	9.39469584219267	3.49616487080502e-17	1.17197428144408e-14	28.487980428987
CPA2	-3.44370558446695	0.510256116311633	-9.39312698255803	3.53076402191588e-17	1.17197428144408e-14	28.4783702094113
CDK1	2.15812652508848	3.78907179733376	9.38834380617278	3.6383672858601e-17	1.18416954271993e-14	28.4490734070432
MYRIP	-1.75727530633651	0.518745894873999	-9.38616591057462	3.68843658629064e-17	1.18416954271993e-14	28.4357353960065
KIF2C	2.08533739406091	3.38843845016422	9.37383238518155	3.98519063202802e-17	1.25880602157479e-14	28.3602197169838
TK1	2.63017973742307	5.26867584471201	9.36921577490622	4.10227858800848e-17	1.27522260107235e-14	28.3319610828951
ACADL	-0.790544590254295	0.194939264536206	-9.31246937884179	5.85400342786152e-17	1.79132504892563e-14	27.9849684664469
TRIM74	-0.588502462543967	0.209437411029608	-9.25656763369389	8.30422341627626e-17	2.50199863668237e-14	27.6437952833152
CEP55	2.30974526242153	3.80232339358379	9.24558915615526	8.89377973522433e-17	2.6390270050702e-14	27.5768702173627
PTBP1	0.97134444532707	5.90718628172364	9.20351959840415	1.15645385648388e-16	3.38029736199707e-14	27.3206520882091
MELK	2.06743103864825	3.2969649194496	9.16877247113886	1.43613686611007e-16	4.13607417439701e-14	27.1093189997539
ECT2	2.33591497639065	4.34193747881547	9.14207395646777	1.69588521812074e-16	4.81336465386618e-14	26.9471176893579
DDX39A	1.46083423686075	4.29215931696658	9.12852846709753	1.84502134187611e-16	5.16184256561452e-14	26.8648851926053
RRM2	2.35598416915811	4.15496966510937	9.11018489720187	2.0679707318278e-16	5.70410405804445e-14	26.753589519271
ZNF385B	-1.43930432745625	0.358204675669939	-9.09715386511055	2.24243214216392e-16	6.09941542668585e-14	26.6745723516689
KIF23	1.7908701603574	2.73858686903394	9.08948902721267	2.35180576544695e-16	6.30928275486479e-14	26.6281124098503
PTTG1	2.30173191098284	3.96057436829199	9.08700204914127	2.38842093337543e-16	6.32092372421951e-14	26.6130405970399
PTGER3	-1.87259471292413	0.648646604628123	-9.06326683380189	2.7676664868356e-16	7.22693073042512e-14	26.4692688449255
UBE2S	2.08532243863113	4.05538004672364	9.05005250843995	3.00415736711549e-16	7.7412391944197e-14	26.3892811056439
KIF11	1.9809887758996	3.66910941370815	9.04628407557091	3.07520728574554e-16	7.82141032260268e-14	26.3664777024711
HNRNPC	0.944761767058717	5.29087899912268	9.0288652023236	3.42594590637991e-16	8.57693246239924e-14	26.2611156887035
CCNB1	2.22070803631319	4.26653346892873	9.02727628766824	3.4598532706778e-16	8.57693246239924e-14	26.251508259467
KIFC1	1.91060845284593	3.11081312396961	9.02139783490848	3.58822466517253e-16	8.78397398034235e-14	26.2159690611253
NEK2	2.0300240020717	2.87015753032846	9.01875850384551	3.64739085898125e-16	8.81858056571468e-14	26.2000151336744
ANGPTL3	-1.16327806207596	0.285317904372243	-9.00775948184005	3.90457853974726e-16	9.3252763563915e-14	26.1335469087581
GUCA2B	-1.94676895378272	0.325249117621448	-8.98044893383265	4.62378996941304e-16	1.09099159952994e-13	25.9686284676146
SNRPG	1.41582871824439	4.6299309387883	8.96496248250131	5.08861550947307e-16	1.18637435878001e-13	25.8751892274727
DLGAP5	2.03607264466935	3.07997492498553	8.96123624216241	5.20721926480767e-16	1.19974331861169e-13	25.8527149881818
AURKB	2.23201510579294	3.36034264145433	8.95646463276241	5.36311610432889e-16	1.22129378822299e-13	25.8239405672456
PM20D1	-0.808596685250421	0.275530756107169	-8.95336999433848	5.46669414892731e-16	1.23057170359302e-13	25.8052817345474
ARHGDIG	-1.55168007092403	0.361671982450174	-8.92490364020053	6.51773711197786e-16	1.45049276819289e-13	25.6337534590678
PLCXD3	-1.54161816679142	0.242222865819251	-8.91113243100605	7.09599809265171e-16	1.56143850164597e-13	25.5508425854626
ASF1B	2.1203610640087	3.71299615585656	8.88004674167422	8.59553331616087e-16	1.8703880495966e-13	25.3638565491865
LCN10	-0.357779719968356	0.0721817451534987	-8.87188190284874	9.03908832194332e-16	1.92513788563719e-13	25.3147824915735
SEC14L5	-0.500554965767377	0.240261979861253	-8.87179832799063	9.04374415229891e-16	1.92513788563719e-13	25.3142802562262
TROAP	1.91245251985533	2.87666182516369	8.86068039694682	9.68483331422207e-16	2.03943844758844e-13	25.2474833114035
NCAPH	1.92451871250278	2.92139899149039	8.81912902087756	1.25065928675732e-15	2.60562887998462e-13	24.9981103539931
PDIA2	-3.49550891023164	0.926188711107897	-8.80236285099271	1.3864198561867e-15	2.85806804879583e-13	24.8976084949591
RANBP3L	-1.01496915931995	0.239850963184346	-8.79679396718151	1.43467560403161e-15	2.92673823222449e-13	24.8642423396097
CCNB2	2.13999031915602	3.78094727493541	8.79307371358934	1.46783846423456e-15	2.96352046222368e-13	24.8419566451452
FAM49B	1.33567441815635	3.2303125072641	8.77338084643184	1.65648749895912e-15	3.31027052853218e-13	24.7240470595239
KIF4A	1.95733858447835	2.90564922897945	8.75656601073323	1.83649870317209e-15	3.63292834372952e-13	24.6234470099175
PRC1	1.91123982063505	3.53916189115247	8.75383752837834	1.86748727561832e-15	3.65217695303557e-13	24.6071297702185
BUB1B	1.90015387720883	2.98975007888721	8.75244289925785	1.88352671699649e-15	3.65217695303557e-13	24.5987901515444
BUB1	1.92821028878308	2.9003754572089	8.74474618900266	1.97453846335913e-15	3.79111384964952e-13	24.5527741888579
PLK1	2.04150374587375	3.71071567267334	8.7322741437371	2.13137939134004e-15	4.05251786407799e-13	24.4782402642935
ZBTB16	-2.09163353013399	0.665065225000151	-8.73031902503411	2.15706328783588e-15	4.06191609894018e-13	24.4665599307144
CKS1B	1.79642121867672	3.74575475602377	8.72621143207711	2.21202934353704e-15	4.12575072988851e-13	24.442023409251
ADRM1	1.26735838029469	5.69609158101399	8.70026152691785	2.59290060168731e-15	4.79050616824946e-13	24.287113209013
ANLN	2.43455179161627	4.02811144194496	8.6495092389658	3.53596274011548e-15	6.43678559453219e-13	23.9846486391203
EIF4A3	1.25555579851971	4.24025938267653	8.64887425855902	3.54969793816113e-15	6.43678559453219e-13	23.9808686691573
CDCA8	1.93799480837058	3.66112948158009	8.64442246022329	3.64749356929852e-15	6.55344165698553e-13	23.9543705783445
HDGF	1.37015986002547	6.62590606533648	8.64217194513422	3.69794556190601e-15	6.58368780766976e-13	23.9409770034894
CDKN3	1.97980096367314	3.07209394687766	8.63468547990656	3.87081613617421e-15	6.82937506403925e-13	23.8964321543868
SNRPB	1.57585222868614	7.29863397836821	8.62946656508657	3.99605004909713e-15	6.9873789429927e-13	23.8653881219048
ALYREF	1.43028111363801	4.77744560941552	8.62238751093328	4.17237259937029e-15	7.23112787487326e-13	23.8232908416891
CENPF	2.15407680399933	3.47109238270752	8.6102497559446	4.49285348599008e-15	7.71824935698506e-13	23.7511418162682
CKAP2	1.88424322474238	3.62673332374942	8.59408582342702	4.95787988630081e-15	8.44305388637523e-13	23.6551215417009
GRIP2	-0.907347230581822	0.271474264202339	-8.59231938398612	5.01151014550128e-15	8.46081161116354e-13	23.6446324225304
FUT9	-1.65142403366678	0.355733187954494	-8.58413101079976	5.26773508818116e-15	8.81737811683246e-13	23.5960208058754
PCNA	1.91124892641673	6.32352404024036	8.58153276389395	5.35172440309589e-15	8.88204836527372e-13	23.5805996587466
KIF22	1.47563297023858	3.62797559307376	8.55697180867798	6.21433589517647e-15	1.0227021358919e-12	23.4349152659594
SF3B4	1.21354390431072	5.85619792625415	8.54662807446308	6.6176908499623e-15	1.08000714671385e-12	23.3736099113513
RECQL4	1.90739450151931	3.24158966448947	8.54080493059519	6.85608970909053e-15	1.10966661870107e-12	23.3391100637165
ERH	1.19835623151229	5.33282659648039	8.49544994660349	9.02928054265814e-15	1.44942155858539e-12	23.0707178454994
DNER	-2.23825245662302	0.583269467051933	-8.49055621882318	9.30123732156631e-15	1.48093846915085e-12	23.0417926950526
CDC45	1.89068124310034	2.63466793607902	8.48876224777537	9.40295624540087e-15	1.48506044443492e-12	23.0311908105766
MKI67	2.25153879899982	4.18583760845593	8.46544686990946	1.0829814294875e-14	1.69672866520666e-12	22.893484709514
CDCA5	1.93732020487884	2.88397524979489	8.46164318794888	1.1082164223101e-14	1.72248495353341e-12	22.8710336723144
CCNA2	2.00722546001262	3.91843847478146	8.45667147766499	1.14208233545612e-14	1.76114491791911e-12	22.8416945205121
MYBPC3	-0.613817387275077	0.171754639572791	-8.44048722474852	1.25959923527909e-14	1.92718682997701e-12	22.7462357963363
ASAH2	-0.924109317901981	0.331760279007185	-8.42402309503757	1.3914590968967e-14	2.11242906617248e-12	22.6492021040197
RCC2	1.63302399471214	5.77035753740613	8.41763996795071	1.44618864905817e-14	2.17862757716579e-12	22.6116028907194
CENPA	1.81572805024303	2.58584197166722	8.4087092215231	1.52636411647367e-14	2.28185609595576e-12	22.5590165993195
NUF2	1.85588699329572	2.55803632798319	8.40050373440256	1.60390918340254e-14	2.37961798846631e-12	22.5107208337157
PSMA7	1.20137697742388	6.32279821723025	8.37214514385554	1.90325100599869e-14	2.79299875331269e-12	22.3439565886163
AURKA	1.97913613719535	3.52574767289822	8.37146618084734	1.91105919599622e-14	2.79299875331269e-12	22.3399667428565
KIF20A	2.04451738453816	3.16280454279865	8.30639080905262	2.82766518673619e-14	4.10199963089196e-12	21.9581800912415
MAD2L1	1.68805773136214	2.71598249727	8.30002824681425	2.93789217338743e-14	4.23056472967789e-12	21.9209184417901
HNRNPL	0.811975565880505	4.77006600651867	8.29088162613094	3.10385805655342e-14	4.43693110799577e-12	21.8673731787148
CD300LG	-0.294985110085347	0.0544251097938621	-8.28907774060746	3.13767117049287e-14	4.4527646523864e-12	21.856815964703
GTSE1	1.62409844830837	2.53014254002283	8.2789415866897	3.33457664388271e-14	4.69815460387042e-12	21.797512189297
FOXM1	2.27840279112564	4.13802703253769	8.27211468338906	3.47405506063742e-14	4.85970673625166e-12	21.7575870846711
CDC25B	2.25257681609359	4.76352821964671	8.25873103230436	3.76449945801367e-14	5.22864945998153e-12	21.679357052218
GPR133	-1.27170377233857	0.451351495804009	-8.25081824163513	3.94741626059144e-14	5.44409859488892e-12	21.6331304085581
HRH2	-1.58161723884846	0.679363937109892	-8.24482119498981	4.09189505350753e-14	5.60389319775466e-12	21.5981080555456
GPR155	-2.43658766097584	1.80655945084183	-8.23340313816983	4.38162599983413e-14	5.95901135977441e-12	21.5314572023893
HOXB7	2.26531515432723	3.14722130828916	8.22677214826472	4.55913069967371e-14	6.15765624982138e-12	21.4927679949917
KCNJ16	-1.94554005984567	0.384601777184377	-8.21169802944191	4.98962201780419e-14	6.69292860251214e-12	21.4048658495855
PIRT	-0.337161607542209	0.0549006118887964	-8.20716996112362	5.12663912585834e-14	6.79504903486002e-12	21.3784746270286
MCM4	1.93276999090291	4.28090143550254	8.20689275692195	5.13514735069078e-14	6.79504903486002e-12	21.3768591825235
TOP2A	2.85736564309943	5.13882450582275	8.19236645155363	5.60115431857315e-14	7.3619467231501e-12	21.2922378735458
PFDN2	1.50113243819001	5.61470419006015	8.1795252439855	6.04787905706071e-14	7.8716306581227e-12	21.2174864574157
RACGAP1	1.61227479550658	3.77912257206939	8.17893273672158	6.06932306666936e-14	7.8716306581227e-12	21.2140385622119
DUSP19	-1.20685680979042	0.9387276456435	-8.1756414705884	6.18982028317678e-14	7.97509476485093e-12	21.1948881111105
TUBB	1.53050378407643	7.69924043012358	8.13381697461897	7.94419367352368e-14	1.01685679021103e-11	20.9518196770087
RNASEH2A	1.6930494576146	3.47039129952271	8.12873455764989	8.18847767604568e-14	1.0413191351148e-11	20.9223194058817
PARK2	-0.799850510748011	0.446416386653719	-8.11569373707364	8.84987716387024e-14	1.11816770565958e-11	20.846662300219
PPIA	1.34246520482178	7.06986998479276	8.10638158182165	9.35431772553184e-14	1.17077677909249e-11	20.7926697282647
CBFB	1.32271143537107	3.97761701184648	8.10581661912935	9.3858228307558e-14	1.17077677909249e-11	20.7893949044788
TMEM211	-0.937216043334819	0.260810236475729	-8.09829061466341	9.8156807679498e-14	1.2166474187312e-11	20.7457797193199
HN1	1.7161696241668	4.96364007937117	8.09411040146022	1.00628108141136e-13	1.23943450933082e-11	20.7215619495065
SKA3	1.80078641077517	2.67768017798214	8.09268991244219	1.01481848770705e-13	1.24213782895343e-11	20.7133336954752
NCAPG	1.66444421399829	2.68981379911166	8.09120615103072	1.02381284494708e-13	1.24536340095923e-11	20.7047396097718
LCN6	-0.500210269404992	0.129870167765668	-8.07618818745439	1.11941663175992e-13	1.34666497642389e-11	20.6177931467739
CLSPN	1.46912746809156	2.29258073138445	8.07597350560694	1.12084554308157e-13	1.34666497642389e-11	20.6165507621721
PBK	2.03367436170551	3.28740797629969	8.05226332745091	1.29031160282995e-13	1.54082087986718e-11	20.4794274250078
NRM	1.72206572290157	3.70689525046891	8.05076720490312	1.30181888195406e-13	1.54514066570838e-11	20.4707808648848
MRGBP	1.26568651966022	3.06162030409364	8.04018936009305	1.38613080882706e-13	1.63530034699212e-11	20.4096685226273
TIMELESS	1.59376489232089	3.25270306988397	8.03847366642065	1.40030693212008e-13	1.64213239273292e-11	20.3997596521664
PRR11	1.96717554933493	3.26059373342087	7.99774295097837	1.78243193003309e-13	2.07780636415285e-11	20.1647992578851
KIAA0101	1.87214679215068	3.17845467436314	7.98826160329414	1.88526893079721e-13	2.18468087223269e-11	20.110181559235
XPO1	1.16328141427267	4.46000421486286	7.97813429868471	2.00161059136115e-13	2.30234370007298e-11	20.0518749738886
PCDH9	-0.677659919676315	0.158302097318726	-7.97739992362713	2.01031848811519e-13	2.30234370007298e-11	20.0476482038739
COL2A1	-1.81314550134886	0.357507998904497	-7.95689003951839	2.26927564581722e-13	2.58380780509793e-11	19.9296724434668
ARHGAP11A	1.64408236862971	2.93604793733992	7.95439915936617	2.30289499188761e-13	2.60693037694375e-11	19.9153538991977
CKAP2L	1.59897144633595	2.29148844818894	7.9403251735363	2.50233268647692e-13	2.80816789001506e-11	19.8344893659116
FNDC5	-1.40161209690259	0.53966411046458	-7.93985105133454	2.50934120073854e-13	2.80816789001506e-11	19.8317663461392
KIF18A	1.54241714471759	2.09118284316537	7.92487669503514	2.74098558097687e-13	3.04996941010517e-11	19.7458023907815
IQGAP3	1.98359418567021	3.37514322808222	7.9200131642338	2.82068587577769e-13	3.12092159272487e-11	19.7178980106532
PSMB2	1.14178191007419	5.08667575177399	7.91251727428879	2.94804128810199e-13	3.24350789810052e-11	19.674905855079
EXO1	1.594626796558	2.22708184796699	7.91065666106297	2.98052563405047e-13	3.26092815738795e-11	19.6642373192661
CENPW	2.12116166190678	3.91153886592113	7.90858859801062	3.01704805011543e-13	3.28254827852559e-11	19.6523806372345
RBPJL	-0.55184690523133	0.117428921211853	-7.89689512067903	3.23205371534028e-13	3.48761952109028e-11	19.5853659466186
SCUBE2	-1.43955916955494	0.638888181412998	-7.89641757365825	3.24114967748382e-13	3.48761952109028e-11	19.5826301163283
ARPC5	0.94055285571109	4.03592388382399	7.88313260813082	3.5046115690288e-13	3.73643244316837e-11	19.5065520299933
LMNB1	1.826091861315	3.80851512460083	7.8828453308774	3.5105370176827e-13	3.73643244316837e-11	19.5049075498808
GREM2	-1.86797822570228	0.717839919552943	-7.8808698513704	3.55155334138147e-13	3.7596551696008e-11	19.4935999292654
NUP62	1.02211507941965	3.77328074724806	7.83634496079126	4.61289410727986e-13	4.85693108585854e-11	19.2390875072341
CFC1	-0.459847709034561	0.0500648655846821	-7.82691889413586	4.87502570193174e-13	5.09809587400267e-11	19.1852922000566
SV2C	-0.256615218661687	0.0630806511432498	-7.8262560137867	4.89400543460224e-13	5.09809587400267e-11	19.1815102239514
ASPM	1.72804504338061	2.60484524508395	7.81677166746425	5.17371372671657e-13	5.36095289015964e-11	19.1274148964763
STX12	-1.1640124037231	3.79943663509721	-7.80725488089886	5.47028286925495e-13	5.63842209007836e-11	19.0731653297122
HNRNPM	0.704962813189278	5.07349963570647	7.79797003727006	5.77583122555968e-13	5.92219260321261e-11	19.0202677348036
KCTD8	-0.620635807748564	0.119172962128484	-7.79197138467416	5.98216089202384e-13	6.10180410986431e-11	18.9861079101499
CDT1	1.93114590224918	3.34355149880545	7.78070649053781	6.38954430810526e-13	6.46895474449059e-11	18.9219923983309
NME1	1.58740390702379	3.79081195209741	7.78020844688878	6.40817616641735e-13	6.46895474449059e-11	18.9191587291886
DKC1	1.29052147466462	4.42625347366717	7.77755471159412	6.50836331188313e-13	6.53639933845739e-11	18.9040614760986
FANCI	1.60100539096297	3.07966947082943	7.77394361250481	6.64718927913845e-13	6.64176300217589e-11	18.8835216204927
MFSD4	-3.23657633826191	1.54754469070241	-7.77262099942996	6.69876635265463e-13	6.65932184012124e-11	18.8759997495369
HJURP	1.75898602819997	2.65259351252119	7.72392781942469	8.90016846236085e-13	8.80307571549873e-11	18.5994971293175
CYP2C8	-0.966494559796227	0.267972949695588	-7.71796425780379	9.21483473862393e-13	9.06850871965885e-11	18.5656899862474
BAX	1.23928603547842	3.70489135532071	7.7139347445363	9.43366045398303e-13	9.23744031654018e-11	18.5428539187882
ASXL3	-0.41220795542308	0.104540407131271	-7.70988289102404	9.65888503013669e-13	9.41092559354213e-11	18.5198969841211
ACSM1	-0.561393020058053	0.26702785589259	-7.69853790246392	1.0318209621065e-12	9.98255343842871e-11	18.4556493804724
KL	-1.12330271247003	0.451677393451462	-7.69677874477234	1.0424358534146e-12	9.98255343842871e-11	18.4456911801479
EZH2	1.40014050693997	2.75663670370324	7.69661084815768	1.04345458697833e-12	9.98255343842871e-11	18.4447408117405
GINS1	1.67751098829018	2.66206938248099	7.69636524053856	1.04494661707408e-12	9.98255343842871e-11	18.4433505828846
C6orf201	-0.230362678481663	0.124663949789938	-7.68892855932958	1.09113710283943e-12	1.03732179718482e-10	18.4012663202189
DEPDC1	1.62744412198705	2.33422030287867	7.68448834888281	1.11967358174994e-12	1.05930857125559e-10	18.3761484251025
RCC1	1.48598139596637	3.63440433041559	7.68057394510055	1.14544264778729e-12	1.07847830837818e-10	18.3540107531379
DCAF15	1.03762854728502	3.57247830228673	7.67535730416923	1.18069895480973e-12	1.10635446559779e-10	18.3245167867
NUDT1	1.59428907007441	2.83786629138147	7.67360151634901	1.1928052371349e-12	1.11237608400237e-10	18.3145920408089
GNMT	-1.29775612199901	0.628091079035918	-7.64751932886355	1.3878020100448e-12	1.28809073766433e-10	18.1672891673132
PKMYT1	1.87231158455655	2.73470264651455	7.6416737214513	1.43565869516359e-12	1.32622357953226e-10	18.1343085279189
ASPA	-0.723171178767777	0.243593878056619	-7.6396578122717	1.45253830956668e-12	1.33551691335934e-10	18.1229376973438
LY6E	2.48227919995455	6.52119852973025	7.63853567926206	1.46201908599309e-12	1.33795241963031e-10	18.1166088833557
FBP2	-1.80317263840652	0.676899426476793	-7.63613738919088	1.48248775087546e-12	1.35037395875093e-10	18.1030840733815
CDCA4	1.80736931297098	3.68264550308616	7.63030495985306	1.5334566740253e-12	1.39024982551172e-10	18.0702015328112
PSMA4	1.01956054001378	4.05491926276466	7.62951829052392	1.54046268451819e-12	1.39024982551172e-10	18.0657673187363
RAN	1.20708347492142	5.69519390565448	7.62709345757561	1.5622579357859e-12	1.3974025600179e-10	18.0521006756457
DTL	1.7470386251396	2.7325231177493	7.6265233014508	1.56742684661984e-12	1.3974025600179e-10	18.0488875153779
TREH	-0.587139871348839	0.24421829247496	-7.62626275404913	1.56979454250377e-12	1.3974025600179e-10	18.0474192186059
SRSF2	0.970783501120849	5.49128819639835	7.62442151950205	1.58662773381082e-12	1.40599626873082e-10	18.0370437644365
MAGOH	1.12044538541182	3.76236037971448	7.60885872882177	1.73623133233566e-12	1.53163758614692e-10	17.9493953472474
DDI1	-0.141129857387539	0.0353591423742686	-7.60246008212671	1.80171531880395e-12	1.58227770419087e-10	17.9133840089437
BUB3	1.02825607734699	3.75909584308724	7.60054910530013	1.82174200265307e-12	1.59272300803382e-10	17.9026319741818
MT1M	-2.82372057198665	1.51586079067179	-7.5995388711261	1.83241790048083e-12	1.59493654057851e-10	17.8969484657106
LMNB2	1.68897642963424	4.66627413635875	7.58565618038626	1.98555156242767e-12	1.72057707073378e-10	17.8188828472739
TRIM73	-0.233382605968038	0.109204453971832	-7.58214695302215	2.02622385376217e-12	1.74808669392416e-10	17.7991607147106
RAD51AP1	1.77776854435722	2.84997865166625	7.57909173840748	2.06230455998789e-12	1.77141107468434e-10	17.7819938151796
LIPJ	-0.15342865125543	0.0345976480450279	-7.57433398838695	2.11976090652665e-12	1.80770066015673e-10	17.7552673293152
EFTUD2	1.0464940216234	3.66541853703528	7.57406840404788	2.12301445994714e-12	1.80770066015673e-10	17.7537756620038
